epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,408.147,0.92676,0.51366,0.93119,0.90098,0.94199,0.95944,0.69576,0.95855,0.55636,0.95203,0.001226,0.001226,0.001226
45,417.131,0.92106,0.50648,0.92076,0.90504,0.92557,0.96099,0.70739,0.98481,0.53536,0.9558,0.001208,0.001208,0.001208
46,426.136,0.92747,0.51252,0.93245,0.90533,0.939,0.96678,0.71129,1.01057,0.52715,0.96394,0.00119,0.00119,0.00119
47,435.112,0.90105,0.49851,0.92284,0.91562,0.92652,0.97234,0.71651,0.99295,0.51813,0.96062,0.001172,0.001172,0.001172
48,444.105,0.90642,0.48705,0.92891,0.88895,0.93973,0.95551,0.71843,0.95738,0.50786,0.9472,0.001154,0.001154,0.001154
49,453.142,0.91279,0.49419,0.92856,0.92509,0.91142,0.97023,0.7052,1.01501,0.51572,0.96607,0.001136,0.001136,0.001136
50,462.215,0.90605,0.49556,0.92288,0.90107,0.92346,0.96525,0.71032,0.9714,0.53431,0.95281,0.001118,0.001118,0.001118
51,471.308,0.89751,0.48789,0.92411,0.88467,0.96265,0.97209,0.71734,0.97908,0.5209,0.95651,0.0011,0.0011,0.0011
52,480.418,0.88902,0.48002,0.9184,0.90619,0.9175,0.96139,0.71387,0.99292,0.52213,0.96091,0.001082,0.001082,0.001082
53,489.365,0.89586,0.49053,0.9211,0.90459,0.9445,0.96031,0.7018,1.00473,0.5059,0.96486,0.001064,0.001064,0.001064
54,498.318,0.90616,0.48336,0.92068,0.89738,0.93322,0.95688,0.70544,0.99604,0.52792,0.95847,0.001046,0.001046,0.001046
55,507.268,0.88984,0.47653,0.9234,0.91191,0.92423,0.95675,0.70231,0.99115,0.53672,0.95887,0.001028,0.001028,0.001028
56,516.26,0.88588,0.47648,0.91994,0.91338,0.93063,0.96987,0.71429,0.9933,0.51428,0.95962,0.00101,0.00101,0.00101
57,525.255,0.88235,0.47407,0.91824,0.90233,0.93383,0.96084,0.71423,0.97885,0.50395,0.95657,0.000992,0.000992,0.000992
58,534.253,0.88644,0.47801,0.91243,0.89903,0.92177,0.95978,0.70185,0.97814,0.52632,0.95757,0.000974,0.000974,0.000974
59,543.238,0.8852,0.47454,0.92066,0.90957,0.93703,0.95788,0.70962,0.98785,0.49717,0.95992,0.000956,0.000956,0.000956
60,552.223,0.87741,0.47263,0.91544,0.90873,0.91462,0.95297,0.7093,0.98389,0.4984,0.95756,0.000938,0.000938,0.000938
61,561.172,0.86758,0.47187,0.9122,0.87765,0.94023,0.96372,0.71012,0.97857,0.53535,0.95786,0.00092,0.00092,0.00092
62,570.146,0.86395,0.47164,0.91506,0.91096,0.93597,0.96776,0.72928,0.95207,0.49207,0.94955,0.000902,0.000902,0.000902
63,579.227,0.86296,0.45551,0.91108,0.88987,0.9445,0.96437,0.71793,0.9782,0.52498,0.95477,0.000884,0.000884,0.000884
64,588.699,0.85776,0.46532,0.90884,0.89265,0.94073,0.95606,0.69812,0.99114,0.51698,0.96258,0.000866,0.000866,0.000866
65,598.176,0.85493,0.4637,0.91201,0.91602,0.9429,0.96804,0.72364,0.96323,0.48358,0.95662,0.000848,0.000848,0.000848
66,607.626,0.86321,0.45427,0.90855,0.90698,0.9261,0.96415,0.7201,0.99268,0.50075,0.96088,0.00083,0.00083,0.00083
67,617.176,0.85024,0.44615,0.91367,0.91737,0.92529,0.96132,0.71296,0.98547,0.50508,0.95753,0.000812,0.000812,0.000812
68,626.551,0.85619,0.45781,0.91433,0.90685,0.9413,0.95479,0.71525,0.95275,0.49994,0.94495,0.000794,0.000794,0.000794
69,635.961,0.84723,0.44655,0.90724,0.92662,0.92743,0.97051,0.72633,0.95238,0.48174,0.94781,0.000776,0.000776,0.000776
70,645.132,0.85512,0.44549,0.9117,0.90454,0.92423,0.9637,0.70743,0.97212,0.51842,0.95521,0.000758,0.000758,0.000758
71,654.329,0.83603,0.44406,0.90628,0.91073,0.92209,0.96977,0.72482,0.96124,0.48329,0.95072,0.00074,0.00074,0.00074
72,663.708,0.84691,0.44088,0.90792,0.89897,0.92423,0.96594,0.72337,0.96615,0.48921,0.95184,0.000722,0.000722,0.000722
73,673.206,0.82675,0.44268,0.90083,0.91127,0.93165,0.96679,0.72493,0.96831,0.51204,0.95366,0.000704,0.000704,0.000704
74,682.738,0.81934,0.43184,0.90315,0.89134,0.93674,0.96383,0.7177,0.97316,0.48586,0.95093,0.000686,0.000686,0.000686
75,692.118,0.82271,0.43209,0.89743,0.90407,0.93597,0.9624,0.71825,0.9845,0.5036,0.9554,0.000668,0.000668,0.000668
76,701.778,0.82444,0.43771,0.89616,0.90511,0.91142,0.96074,0.701,0.99664,0.5174,0.96358,0.00065,0.00065,0.00065
77,711.303,0.81975,0.43181,0.9017,0.90361,0.94045,0.96696,0.72694,0.96944,0.47309,0.95574,0.000632,0.000632,0.000632
78,720.777,0.81268,0.42695,0.89343,0.89467,0.93374,0.96791,0.72934,0.97569,0.47761,0.95551,0.000614,0.000614,0.000614
79,730.294,0.81609,0.43672,0.8968,0.92021,0.92313,0.9735,0.72164,0.96709,0.47973,0.95894,0.000596,0.000596,0.000596
80,739.829,0.81217,0.42706,0.89914,0.92018,0.92636,0.96824,0.7281,0.96008,0.49162,0.95252,0.000578,0.000578,0.000578
81,749.358,0.81068,0.42833,0.89766,0.90725,0.92743,0.96666,0.72527,0.96677,0.4811,0.95425,0.00056,0.00056,0.00056
82,758.77,0.80948,0.42495,0.89949,0.93298,0.90608,0.96902,0.72518,0.99385,0.49205,0.9611,0.000542,0.000542,0.000542
83,767.968,0.80256,0.41669,0.88675,0.89536,0.94063,0.96696,0.72691,0.98231,0.48351,0.95474,0.000524,0.000524,0.000524
84,777.102,0.78997,0.41427,0.89193,0.9037,0.93141,0.96573,0.73148,0.96144,0.48383,0.95045,0.000506,0.000506,0.000506
85,786.091,0.78591,0.41426,0.88975,0.9165,0.92542,0.97037,0.72503,0.95942,0.47583,0.95071,0.000488,0.000488,0.000488
86,795.109,0.78084,0.40655,0.89063,0.90669,0.9333,0.96092,0.71938,0.96477,0.49105,0.94952,0.00047,0.00047,0.00047
87,804.174,0.79479,0.41334,0.8939,0.91848,0.92585,0.9684,0.72447,0.96073,0.48152,0.95048,0.000452,0.000452,0.000452
88,813.189,0.78817,0.41527,0.89034,0.90408,0.91676,0.9537,0.71772,0.96512,0.48534,0.95149,0.000434,0.000434,0.000434
89,822.124,0.77881,0.40602,0.89162,0.9108,0.92632,0.96525,0.73165,0.96556,0.4743,0.95288,0.000416,0.000416,0.000416
90,831.196,0.762,0.40394,0.88807,0.91516,0.91676,0.9638,0.7264,0.96488,0.4824,0.95144,0.000398,0.000398,0.000398
91,839.661,0.77769,0.40011,0.89316,0.91601,0.93117,0.96945,0.72545,0.98366,0.47399,0.96037,0.00038,0.00038,0.00038
92,848.066,0.7498,0.38481,0.88448,0.93296,0.90593,0.96229,0.7182,0.97562,0.47819,0.95736,0.000362,0.000362,0.000362
93,856.326,0.75528,0.38253,0.88528,0.91714,0.92316,0.95822,0.71821,0.97888,0.47752,0.95861,0.000344,0.000344,0.000344
94,864.574,0.74382,0.38039,0.88738,0.92625,0.91355,0.95818,0.71886,0.97503,0.48097,0.95349,0.000326,0.000326,0.000326
95,873.228,0.74441,0.37498,0.88184,0.9176,0.92695,0.96163,0.72392,0.96885,0.47613,0.95444,0.000308,0.000308,0.000308
96,881.827,0.72329,0.3662,0.87833,0.91023,0.91981,0.95779,0.72219,0.97925,0.49189,0.95808,0.00029,0.00029,0.00029
97,890.333,0.73344,0.37156,0.87842,0.91222,0.93163,0.96688,0.72348,0.9912,0.48163,0.96469,0.000272,0.000272,0.000272
98,898.848,0.72362,0.36174,0.87653,0.91223,0.93383,0.96099,0.72408,0.98162,0.48007,0.96363,0.000254,0.000254,0.000254
99,907.351,0.71722,0.36301,0.8725,0.91213,0.93062,0.96413,0.72647,0.97933,0.46704,0.95765,0.000236,0.000236,0.000236
100,915.849,0.71022,0.35695,0.87552,0.8992,0.94257,0.96818,0.72506,0.99131,0.47179,0.96263,0.000218,0.000218,0.000218
